timestamp,value
2023-12-21T00:00:34Z,50.0
2023-12-21T00:01:34Z,96.7
2023-12-21T00:02:34Z,96.5
2023-12-21T00:03:34Z,96.5
2023-12-21T00:04:34Z,96.3
2023-12-21T00:05:34Z,96.2
2023-12-21T00:06:34Z,96.3
2023-12-21T00:07:34Z,96.2
2023-12-21T00:08:34Z,96.2
2023-12-21T00:09:34Z,96.2
2023-12-21T00:10:34Z,96.2
2023-12-21T00:11:34Z,96.2
2023-12-21T00:12:34Z,96.2
2023-12-21T00:13:34Z,96.2
2023-12-21T00:14:34Z,96.3
2023-12-21T00:15:34Z,96.3
2023-12-21T00:16:34Z,96.3
2023-12-21T00:17:34Z,50.0
2023-12-21T00:18:34Z,96.3
2023-12-21T00:19:34Z,50.0
2023-12-21T00:20:34Z,96.3
2023-12-21T00:21:34Z,96.5
2023-12-21T00:22:34Z,96.6
2023-12-21T00:23:34Z,96.8
2023-12-21T00:24:34Z,96.9
2023-12-21T00:25:34Z,97.0
2023-12-21T00:26:34Z,97.2
2023-12-21T00:27:34Z,97.3
2023-12-21T00:28:34Z,97.3
2023-12-21T00:29:34Z,97.4
2023-12-21T00:30:34Z,97.5
2023-12-21T00:31:34Z,97.5
2023-12-21T00:32:34Z,97.6
2023-12-21T00:33:34Z,97.6
2023-12-21T00:34:34Z,97.5
2023-12-21T00:35:34Z,97.5
2023-12-21T00:36:34Z,97.5
2023-12-21T00:37:34Z,97.5
2023-12-21T00:38:34Z,97.5
2023-12-21T00:39:34Z,97.5
2023-12-21T00:40:34Z,97.5
2023-12-21T00:41:34Z,97.5
2023-12-21T00:42:34Z,97.5
2023-12-21T00:43:34Z,97.4
2023-12-21T00:44:34Z,97.4
2023-12-21T00:45:34Z,97.4
2023-12-21T00:46:34Z,97.4
2023-12-21T00:47:34Z,97.4
2023-12-21T00:48:34Z,97.4
2023-12-21T00:49:34Z,97.4
2023-12-21T00:50:34Z,97.4
2023-12-21T00:51:34Z,97.4
2023-12-21T00:52:34Z,97.4
2023-12-21T00:53:34Z,97.4
2023-12-21T00:54:34Z,97.4
2023-12-21T00:55:34Z,97.3
2023-12-21T00:56:34Z,97.3
2023-12-21T00:57:34Z,97.3
2023-12-21T00:58:34Z,97.3
2023-12-21T00:59:34Z,97.3
2023-12-21T01:00:34Z,97.3
2023-12-21T01:01:34Z,97.3
2023-12-21T01:02:34Z,97.3
2023-12-21T01:03:34Z,97.2
2023-12-21T01:04:34Z,97.3
2023-12-21T01:05:34Z,97.3
2023-12-21T01:06:34Z,97.2
2023-12-21T01:07:34Z,97.2
2023-12-21T01:08:34Z,50.0
2023-12-21T01:09:34Z,97.1
2023-12-21T01:10:34Z,96.9
2023-12-21T01:11:34Z,50.0
2023-12-21T01:12:34Z,96.6
2023-12-21T01:13:34Z,96.6
2023-12-21T01:14:34Z,96.6
2023-12-21T01:15:34Z,96.5
2023-12-21T01:16:34Z,96.4
2023-12-21T01:17:34Z,96.4
2023-12-21T01:18:34Z,96.5
2023-12-21T01:19:34Z,96.4
2023-12-21T01:20:34Z,96.4
2023-12-21T01:21:34Z,96.4
2023-12-21T01:22:34Z,50.0
2023-12-21T01:23:34Z,96.4
2023-12-21T01:24:34Z,96.6
2023-12-21T01:25:34Z,96.8
2023-12-21T01:26:34Z,50.0
2023-12-21T01:27:34Z,97.1
2023-12-21T01:28:34Z,96.9
2023-12-21T01:29:34Z,96.7
2023-12-21T01:30:34Z,96.7
2023-12-21T01:31:34Z,96.6
2023-12-21T01:32:34Z,96.8
2023-12-21T01:33:34Z,96.6
2023-12-21T01:34:34Z,96.4
2023-12-21T01:35:34Z,96.1
2023-12-21T01:36:34Z,96.2
2023-12-21T01:37:34Z,50.0
2023-12-21T01:38:34Z,96.4
2023-12-21T01:39:34Z,96.7
2023-12-21T01:40:34Z,96.9
2023-12-21T01:41:34Z,97.0
2023-12-21T01:42:34Z,96.9
2023-12-21T01:43:34Z,50.0
2023-12-21T01:44:34Z,96.5
2023-12-21T01:45:34Z,96.3
2023-12-21T01:46:34Z,96.8
2023-12-21T01:47:34Z,96.8
2023-12-21T01:48:34Z,96.6
2023-12-21T01:49:34Z,96.5
2023-12-21T01:50:34Z,96.4
2023-12-21T01:51:34Z,96.3
2023-12-21T01:52:34Z,96.3
2023-12-21T01:53:34Z,50.0
2023-12-21T01:54:34Z,96.1
2023-12-21T01:55:34Z,95.9
2023-12-21T01:56:34Z,95.8
2023-12-21T01:57:34Z,95.8
2023-12-21T01:58:34Z,95.7
2023-12-21T01:59:34Z,95.6
2023-12-21T02:00:34Z,95.6
2023-12-21T02:01:34Z,95.6
2023-12-21T02:02:34Z,95.6
2023-12-21T02:03:34Z,95.7
2023-12-21T02:04:34Z,95.6
2023-12-21T02:05:34Z,95.5
2023-12-21T02:06:34Z,95.4
2023-12-21T02:07:34Z,50.0
2023-12-21T02:08:34Z,95.6
2023-12-21T02:09:34Z,95.7
2023-12-21T02:10:34Z,95.7
2023-12-21T02:11:34Z,95.7
2023-12-21T02:12:34Z,95.8
2023-12-21T02:13:34Z,95.8
2023-12-21T02:14:34Z,95.7
2023-12-21T02:15:34Z,95.8
2023-12-21T02:16:34Z,95.8
2023-12-21T02:17:34Z,95.8
2023-12-21T02:18:34Z,95.7
2023-12-21T02:19:34Z,50.0
2023-12-21T02:20:34Z,95.6
2023-12-21T02:21:34Z,95.2
2023-12-21T02:22:34Z,94.7
2023-12-21T02:23:34Z,94.3
2023-12-21T02:24:34Z,94.0
2023-12-21T02:25:34Z,93.9
2023-12-21T02:26:34Z,93.8
2023-12-21T02:27:34Z,93.8
2023-12-21T02:28:34Z,50.0
2023-12-21T02:29:34Z,50.0
2023-12-21T02:30:34Z,94.8
2023-12-21T02:31:34Z,95.1
2023-12-21T02:32:34Z,95.5
2023-12-21T02:33:34Z,95.8
2023-12-21T02:34:34Z,96.0
2023-12-21T02:35:34Z,96.1
2023-12-21T02:36:34Z,96.5
2023-12-21T02:37:34Z,96.6
2023-12-21T02:38:34Z,96.7
2023-12-21T02:39:34Z,96.9
2023-12-21T02:40:34Z,97.1
2023-12-21T02:41:34Z,97.1
2023-12-21T02:42:34Z,97.0
2023-12-21T02:43:34Z,96.9
2023-12-21T02:44:34Z,96.7
2023-12-21T02:45:34Z,96.7
2023-12-21T02:46:34Z,96.7
2023-12-21T02:47:34Z,96.8
2023-12-21T02:48:34Z,50.0
2023-12-21T02:49:34Z,50.0
2023-12-21T02:50:34Z,50.0
2023-12-21T02:51:34Z,50.0
2023-12-21T02:52:34Z,96.7
2023-12-21T02:53:34Z,50.0
2023-12-21T02:54:34Z,96.3
2023-12-21T02:55:34Z,96.1
2023-12-21T02:56:34Z,95.9
2023-12-21T02:57:34Z,95.7
2023-12-21T02:58:34Z,95.8
2023-12-21T02:59:34Z,95.8
2023-12-21T03:00:34Z,50.0
2023-12-21T03:01:34Z,95.8
2023-12-21T03:02:34Z,95.7
2023-12-21T03:03:34Z,95.5
2023-12-21T03:04:34Z,95.4
2023-12-21T03:05:34Z,95.3
2023-12-21T03:06:34Z,95.4
2023-12-21T03:07:34Z,95.6
2023-12-21T03:08:34Z,95.8
2023-12-21T03:09:34Z,95.9
2023-12-21T03:10:34Z,96.0
2023-12-21T03:11:34Z,50.0
2023-12-21T03:12:34Z,96.0
2023-12-21T03:13:34Z,95.7
2023-12-21T03:14:34Z,95.6
2023-12-21T03:15:34Z,50.0
2023-12-21T03:16:34Z,96.1
2023-12-21T03:17:34Z,50.0
